"","Player","height","X3P","X3PA"
"1","A.J. Price",213,2.8,9
"2","Aaron Brooks",183,3.1,8.5
"3","Aaron Gordon",206,1.3,4.6
"4","Aaron Gray",213,0,0
"5","Adreian Payne",208,0.5,2.1
"6","Al-Farouq Aminu",206,1.3,3.9
"7","Al Harrington",206,1.8,5.1
"8","Al Horford",208,0.5,1.4
"9","Al Jefferson",208,0,0.1
"10","Alan Anderson",198,2.5,7.4
"11","Alan Williams",198,0,0.1
"12","Alec Burks",198,1.4,4
"13","Alex Abrines",198,4.4,11.5
"14","Alex Len",216,0,0.2
"15","Alexey Shved",198,2.5,8.3
"16","Alexis Ajinca",218,0.2,0.6
"17","Allen Crabbe",198,2.7,6.7
"18","Alonzo Gee",198,1.1,3.2
"19","Amar'e Stoudemire",208,0.1,0.2
"20","Amir Johnson",206,0.3,0.8
"21","Anderson Varejao",208,0,0.1
"22","Andray Blatche",211,0.2,0.9
"23","Andre Drummond",211,0,0.1
"24","Andre Iguodala",198,1.4,4.1
"25","Andre Miller",206,0.3,1.2
"26","Andre Roberson",196,0.9,3.4
"27","Andrea Bargnani",213,2.1,5.9
"28","Andrei Kirilenko",206,0.8,2.6
"29","Andrew Bogut",213,0,0.1
"30","Andrew Bynum",213,0,0
"31","Andrew Goudelock",190,3.2,9.3
"32","Andrew Harrison",198,1.5,5.5
"33","Andrew Nicholson",206,1.1,3.4
"34","Andrew Wiggins",203,1.1,3.5
"35","Andris Biedrins",211,0,0
"36","Antawn Jamison",203,1.6,4.6
"37","Anthony Bennett",203,1,3.7
"38","Anthony Davis",206,0.3,1.2
"39","Anthony Morrow",196,3.3,8
"40","Anthony Randolph",208,0.3,1.1
"41","Anthony Tolliver",203,2.8,7.7
"42","Archie Goodwin",196,0.9,3.9
"43","Arnett Moultrie",211,0,0
"44","Aron Baynes",208,0,0.1
"45","Arron Afflalo",196,2.1,5.4
"46","Austin Daye",211,2.4,6.9
"47","Austin Rivers",193,1.8,5.2
"48","Avery Bradley",188,2.3,6.2
"49","Ben Gordon",190,3,7.5
"50","Ben McLemore",196,2.5,7
"51","Beno Udrih",190,1.3,3.8
"52","Bernard James",208,0,0.2
"53","Bismack Biyombo",206,0,0
"54","Blake Griffin",208,0.2,0.8
"55","Boban Marjanovic",221,0,0
"56","Bobby Brown",193,2.8,8.6
"57","Bobby Portis",211,1.1,3.5
"58","Bojan Bogdanovic",198,3,8.1
